course_id,title,num_inst,in_master,master_status,institutions
PHC4109,PUBLIC HEALTH BIOLOGY,2,yes,queued,FGCU;UWF
PHC4464,INTRODUCTION TO HEALTH DISPARITIES & SOCIAL DETERM,2,yes,queued,USF;UWF
PHC4930,PUBLIC HEALTH SEMINAR,2,no,,UF;UWF
PHC4940,PUBLIC HEALTH CAPSTONE,2,no,,FIU;UWF
PHC5102,PRINCIPLES OF PUBLIC HEALTH,2,no,,EU;UWF
PHC6110,COMPARATIVE HEALTH,2,no,,FSU;UWF
PHC6196,APPLIED DATA ANALYSIS IN PUBLIC HEALTH,2,no,,USF;UWF
PHC6300,ENVIRONMENTAL HEALTH,2,no,,USF;UWF
PHC6360,SAFETY MGMT PRINCIPLES & PRACTICES,2,no,,USF;UWF
PHC6585,PUBLIC HEALTH COMMUNICATION,2,no,,USF;UWF
PHC6905,DIRECTED STUDY,2,no,,UF;UWF
PHC7059,ADVANCED SURVIVAL DATA ANALYSIS,2,no,,USF;UWF
PHC7149,PUBLIC HEALTH LEADERSHIP AND SYSTEMS THINKING,2,no,,USF;UWF
PHC7162,GRANT WRITING IN PUBLIC HEALTH,2,no,,FIU;UWF
PHC7719,APPLIED MULTIVARIATE ANALYSIS IN PUBLIC HEALTH,2,no,,FIU;UWF
PHI3200,SOCIAL-POLITICAL PHILOSOPHY,2,yes,queued,FGCU;UWF
PHI3452,PHILOSOPHY OF BIOLOGY,2,yes,queued,FSU;UWF
PHI3790,AFRICAN PHILOSOPHY,2,yes,queued,UCF;UWF
PHI3880,PHILOSOPHY OF FILM,2,yes,queued,UNF;UWF
PHI3905,DIRECTED STUDY,2,no,,UCF;UWF
PHI5687,ETHICS OF AI,2,no,,UCF;UWF
PHI5905,DIRECTED STUDY,2,no,,UF;UWF
PHY3106,MODERN PHYSICS,2,yes,queued,FIU;UWF
PHY3905,DIRECTED STUDY,2,no,,UCF;UWF
PHY4445,LASERS,2,yes,queued,UCF;UWF
PHY4822L,ADVANCED LABORATORY,2,yes,queued,FSU;UWF
PHY5905,DIRECTED STUDY,2,no,,UF;UWF
PHZ4113,MATHEMATICAL PHYSICS I,2,yes,queued,FAU;UWF
PLA3464,BANKRUPTCY LAW,2,yes,queued,FNU;UWF
PLA3613,PROPERTY LAW,2,yes,queued,FNU;UWF
PLA3806,FAMILY LAW,2,yes,queued,FGCU;UWF
PLA3905,DIRECTED STUDY,2,no,,UCF;UWF
PLA4191,LEGAL REASONING,2,yes,queued,UCF;UWF
PLA4764,LAW OFFICE PRACTICES,2,yes,queued,UCF;UWF
PLA4955,STUDY ABROAD,2,no,,UCF;UWF
POR2905,DIRECTED STUDY,2,no,,UCF;UWF
POS2948,SERVICE LEARNING FIELD STUDIES I,2,no,,EFSC;UWF
POS3033,POLITICAL ANALYSIS,2,yes,queued,FAU;UWF
POS3453,POLITICAL PARTIES AND INTEREST GROUPS,2,yes,queued,USF;UWF
POS3624,INDIVIDUAL RIGHTS AND PRIVILEGES,2,yes,queued,FAMU;UWF
POS3905,DIRECTED STUDY,2,no,,UCF;UWF
PSB4731,BIOPSYCHOLOGY OF SEXUAL BEHAVIOR,2,yes,queued,FSU;UWF
PSY3860,POSITIVE PSYCHOLOGY,2,yes,queued,FLAC;UWF
PSY3905,DIRECTED STUDY,2,no,,UCF;UWF
PSY6905,DIRECTED STUDY,2,no,,UF;UWF
PSY6917,DIRECTED RESEARCH,2,no,,USF;UWF
PSY6948,INTERNSHIP,2,no,,FSU;UWF
PUP5045,PUBLIC POLICY ANALYSIS,2,no,,FSU;UWF
PUR3905,DIRECTED STUDY,2,no,,UCF;UWF
PUR3930,SPECIAL TOPICS,2,no,,UCF;UWF
PUR4407,MANAGING MEDIA RELATIONS,2,yes,queued,KU;UWF
PUR4600,PR STRATEGIES,2,yes,queued,UCF;UWF
PUR4905,DIRECTED STUDY,2,no,,UF;UWF
RED3905,DIRECTED STUDY,2,no,,UCF;UWF
RED4905,DIRECTED STUDY,2,no,,FSU;UWF
RED6116,LANGUAGE AND LITERACY ACQUISITION,2,no,,UCF;UWF
REL3905,DIRECTED STUDY,2,no,,UCF;UWF
RET3028,FOUNDATIONS OF RESPIRATORY THERAPY,2,yes,queued,FAMU;UWF
RET3028L,FOUNDATIONS OF RESPIRATORY THERAPY LAB,2,yes,queued,FAMU;UWF
RET3493,PATIENT ASSESSMENT,2,yes,queued,FAMU;UWF
RET3493L,PATIENT ASSESSMENT LAB,2,yes,queued,FAMU;UWF
RET3884,CLINICAL PRACTICUM I,2,yes,queued,FAMU;UWF
RET3885,CLINICAL PRACTICUM II,2,yes,queued,FAMU;UWF
RET4277,ADULT CRITICAL CARE,2,yes,queued,SSCF;UWF
RET4616,ADVANCED SEMINAR IN RESPIRATORY THERAPY,2,yes,queued,FAMU;UWF
RET4718,NEONATAL PEDIATRIC CRITICAL CARE,2,yes,queued,SSCF;UWF
RET4886,CLINICAL PRACTICUM III,2,yes,queued,FAMU;UWF
RET4887,CLINICAL PRACTICUM IV,2,yes,queued,FAMU;UWF
RTV3400,HISTORY OF TELEVISION,2,yes,queued,STU;UWF
RTV3533,VIDEO PRODUCTION,2,yes,queued,EWU;UWF
RTV3700,MEDIA LAW AND POLICY,2,yes,queued,UF;UWF
RTV3905,DIRECTED STUDY,2,no,,UCF;UWF
RTV4905,DIRECTED STUDY,2,no,,UF;UWF
SCE4905,DIRECTED STUDY,2,no,,FSU;UWF
SDS6905,DIRECTED STUDY,2,no,,UF;UWF
SOP3905,DIRECTED STUDY,2,no,,UCF;UWF
SOP6669,ADVANCED ORGANIZATIONAL PSYCHOLOGY,2,no,,USF;UWF
SOW3113,THE SOCIAL ENVIRONMENT AND HUMAN BEHAVIOR I,2,yes,queued,FIU;UWF
SOW3313,WORK WITH INDIVIDUALS,2,yes,queued,FIU;UWF
SOW3322,WORK WITH GROUPS,2,yes,queued,FGCU;UWF
SOW3905,DIRECTED STUDY,2,no,,UCF;UWF
SOW4141,FAMILY VIOLENCE,2,yes,queued,FAU;UWF
SOW4233,SOCIAL WELFARE POLICY PRACTICE,2,yes,queued,USF;UWF
SOW4613,MENTAL HEALTH SERVICES,2,yes,queued,FAMU;UWF
SOW4740,DEATH  AND  DYING,2,yes,queued,FAMU;UWF
SOW5106,HUMAN BEHAVIOR AND THE SOCIAL ENVIRONMENT II,2,no,,FAMU;UWF
SOW5128,COGNITIVE BEHAVIORAL THERAPY,2,no,,FSU;UWF
SOW5305,GENERAL PRACTICE I,2,no,,UCF;UWF
SOW5605,MEDICAL SOCIAL WORK,2,no,,FIU;UWF
SOW5710,CURRENT ISSUES IN ADDICTION PRACTICES,2,no,,FIU;UWF
SOW5905,DIRECTED STUDY,2,no,,FIU;UWF
SOW6618,CLINICAL SOCIAL WORK WITH GROUPS,2,no,,FAU;UWF
SOW6846,CLINICAL PRACTICE WITH GROUPS,2,no,,UCF;UWF
SOW6905,DIRECTED STUDY,2,no,,FAU;UWF
SOW6916,SUPERVISED RESEARCH,2,no,,FSU;UWF
SPC3593,PRACT IN FORENSICS,2,yes,queued,FSU;UWF
SPC3905,DIRECTED STUDY,2,no,,UCF;UWF
SPC6905,DIRECTED STUDY,2,no,,UF;UWF
SPM3109,SPORT EVENT MANAGEMENT,2,yes,queued,UF;UWF
SPM3941,SPORT MANAGEMENT INTERNSHIP,2,no,,FIU;UWF
SPM4003,CAREER IN PROFESSIONAL SPORT,2,yes,queued,FSU;UWF
SPM4162,ESPORTS MANAGEMENT,2,yes,queued,KU;UWF
SPM5205,ENVIRONMENTAL SUSTAINABILITY IN SPORT,2,no,,UF;UWF
SPM5708,SPORT ANALYTICS,2,no,,FSU;UWF
SPM6308,STUDY OF SPORT CONSUMER BEHAVIORS,2,no,,UF;UWF
SPM6947,INTERNSHIP,2,no,,UF;UWF
SPN3905,DIRECTED STUDY,2,no,,UCF;UWF
SPN4500,SPANISH CULTURE,2,yes,queued,FIU;UWF
SPW3905,DIRECTED STUDY,2,no,,UCF;UWF
SPW6905,DIRECTED STUDY,2,no,,UF;UWF
SSE3905,DIRECTED STUDY,2,no,,UCF;UWF
SSE4324,TEACHING MIDDLE SCHOOL SOCIAL STUDIES,2,yes,queued,FAU;UWF
STA2360,INTRODUCTION TO DATA SCIENCE,2,yes,queued,UCF;UWF
STA3162C,APPLIED STATISTICS,2,yes,queued,FLPOLY;UWF
